	Group A:	'013				Group B:	'004				Group C:	 Not Running
		Inj. Quantity	Inj. Quantity	Inj. Quantity	Inj. Quantity		RPM	Ign. Timing	Idle Stabilization	Idle Stabilization		
	TIME					TIME					TIME	
Marker	STAMP	 mg/str	 mg/str	 mg/str	 mg/str	STAMP	 /min	 °ATDC	°KW	°KW	STAMP	
	0.13	0.16	-0.14	0.02	-0.07	0.3	1449	1.6	9.7	-2.9		
	0.47	0.16	-0.14	0.02	-0.07	0.66	1470	1.6	9.7	-2.9		
	0.83	0.16	-0.14	0.02	-0.05	1	1533	2.2	10.7	-2.9		
	1.18	0.16	-0.14	0.02	-0.05	1.34	1596	2.8	10.7	-2.9		
	1.5	0.16	-0.14	0.02	-0.05	1.66	1638	3.4	10.7	-2.9		
	1.85	0.16	-0.14	0.02	-0.05	2.02	1701	4	10.7	-2.9		
	2.19	0.16	-0.14	0.02	-0.05	2.38	1764	4.7	10.7	-2.9		
	2.55	0.16	-0.14	0.02	-0.05	2.72	1827	5.3	11.2	-3.4		
	2.91	0.16	-0.14	0.02	-0.05	3.08	1890	5.6	11.7	-3.4		
	3.25	0.16	-0.14	0.02	-0.05	3.44	1953	6.2	11.2	-3.4		
	3.61	0.16	-0.14	0.02	-0.05	3.78	2016	6.8	11.2	-3.4		
	3.97	0.16	-0.14	0.02	-0.05	4.14	2079	6.8	11.7	-3.4		
	4.31	0.16	-0.14	0.02	-0.05	4.48	2142	7.1	11.7	-3.4		
	4.64	0.16	-0.14	0.02	-0.05	4.81	2205	7.4	12.8	-3.4		
	5	0.16	-0.14	0.02	-0.05	5.17	2289	7.8	14.8	-3.4		
	5.34	0.16	-0.14	0.02	-0.05	5.51	2373	7.8	14.8	-3.4		
	5.67	0.16	-0.14	0.02	-0.05	5.84	2436	7.4	16.8	-3.4		
	5.99	0.16	-0.14	0.02	-0.05	6.17	2520	7.8	17.3	-3.4		
	6.34	0.16	-0.14	0.02	-0.05	6.49	2604	8.4	17.3	-3.4		
	6.65	0.16	-0.14	0.02	-0.05	6.83	2688	8.7	19.4	-3.4		
	6.99	0.16	-0.14	0.02	-0.05	7.15	2562	17.7	24.5	-3.4		
	7.31	0.16	-0.14	0.02	-0.05	7.5	2646	19.5	30.1	-3.4		
	7.67	0.16	-0.14	0.02	-0.05	7.84	2751	20.8	26	-3.4		
	8.03	0.16	-0.14	0.02	-0.05	8.2	2730	20.5	26.5	-3.4		
	8.37	0.16	-0.14	0.02	-0.05	8.56	2793	21.1	26.5	-3.4		
	8.73	0.16	-0.14	0.02	-0.05	8.9	2667	19.8	27.5	-3.4		
	9.09	0.16	-0.14	0.02	-0.05	9.26	2688	20.2	28.1	-3.4		
	9.43	0.16	-0.14	0.02	-0.05	9.62	2751	20.8	30.6	-3.4		
	9.79	0.16	-0.14	0.02	-0.05	9.96	2793	21.1	34.7	-3.4		
	10.13	0.16	-0.14	0.02	-0.05	10.29	2814	20.8	35.7	-3.4		
	10.46	0.16	-0.14	0.02	-0.05	10.65	2793	21.1	35.7	-3.4		
	10.82	0.16	-0.14	0.02	-0.05	10.99	2751	10.5	25	-3.4		
	11.18	0.16	-0.14	0.02	-0.05	11.35	1848	2.2	5.6	-3.4		
	11.52	0.16	-0.14	0.02	-0.05	11.71	1974	16.1	28.1	-3.4		
	11.88	0.16	-0.14	0.02	-0.05	12.05	1995	16.1	30.1	-2.9		
	12.23	0.16	-0.14	0.02	-0.05	12.39	2079	16.4	31.1	-2.9		
	12.55	0.16	-0.14	0.02	-0.05	12.74	2184	16.7	30.6	-2.9		
	12.91	0.16	-0.14	0.02	-0.05	13.08	2163	16.7	32.1	-2.9		
	13.25	0.16	-0.14	0.02	-0.05	13.42	2184	16.7	33.7	-3.4		
	13.59	0.16	-0.14	0.02	-0.05	13.78	2373	17.7	34.2	-3.4		
	13.95	0.16	-0.14	0.02	-0.05	14.12	2457	18	29.1	-3.4		
	14.31	0.16	-0.14	0.02	-0.05	14.48	2289	17.4	34.2	-3.4		
	14.65	0.16	-0.14	0.02	-0.05	14.84	2436	18	30.1	-3.4		
	15.01	0.16	-0.14	0.02	-0.05	15.18	2478	18	30.6	-3.4		
	15.37	0.16	-0.14	0.02	-0.05	15.54	2667	19.8	29.6	-3.4		
	15.71	0.16	-0.14	0.02	-0.05	15.89	2520	18.3	30.6	-3.4		
	16.05	0.16	-0.14	0.02	-0.05	16.21	2562	18.6	25.5	-3.4		
	16.4	0.16	-0.14	0.02	-0.05	16.57	2604	19.2	27	-3.4		
	16.74	0.16	-0.14	0.02	-0.05	16.93	2541	18.6	30.6	-3.4		
	17.1	0.16	-0.14	0.02	-0.05	17.27	2541	18.6	35.7	-3.4		
	17.44	0.16	-0.14	0.02	-0.05	17.6	2499	18	30.6	-3.4		
	17.77	0.16	-0.14	0.02	-0.05	17.95	2730	20.8	30.1	-3.4		
	18.11	0.16	-0.14	0.02	-0.05	18.27	2772	20.8	30.6	-3.4		
	18.43	0.16	-0.14	0.02	-0.05	18.62	2583	19.5	32.1	-3.4		
	18.79	0.16	-0.14	0.02	-0.05	18.96	2667	19.8	30.1	-3.4		
	19.15	0.16	-0.14	0.02	-0.05	19.32	2709	20.5	31.6	-3.4		
	19.49	0.16	-0.14	0.02	-0.05	19.68	2688	19.8	28.6	-3.4		
	19.85	0.16	-0.14	0.02	-0.05	20.02	2667	12.1	25	-3.4		
	20.21	0.16	-0.14	0.02	-0.05	20.38	2835	21.1	25.5	-3.4		
	20.55	0.16	-0.14	0.02	-0.05	20.74	2856	21.4	31.6	-3.4		
	20.91	0.16	-0.14	0.02	-0.05	21.08	2730	20.5	35.2	-3.4		
	21.26	0.16	-0.14	0.02	-0.05	21.42	2772	20.8	32.1	-3.4		
